DATE,NEWLISCOUUS
2016-07-01,527576.0
2016-08-01,470780.0
2016-09-01,452994.0
2016-10-01,413376.0
2016-11-01,376704.0
2016-12-01,281556.0
2017-01-01,387198.0
2017-02-01,437752.0
2017-03-01,509090.0
2017-04-01,555248.0
2017-05-01,566582.0
2017-06-01,539114.0
2017-07-01,533540.0
2017-08-01,500082.0
2017-09-01,439196.0
2017-10-01,428150.0
2017-11-01,384190.0
2017-12-01,288036.0
2018-01-01,381630.0
2018-02-01,433622.0
2018-03-01,502852.0
2018-04-01,552408.0
2018-05-01,579562.0
2018-06-01,546536.0
2018-07-01,523846.0
2018-08-01,492634.0
2018-09-01,466840.0
2018-10-01,437490.0
2018-11-01,390880.0
2018-12-01,300280.0
2019-01-01,399032.0
2019-02-01,409934.0
2019-03-01,477852.0
2019-04-01,552268.0
2019-05-01,584350.0
2019-06-01,556656.0
2019-07-01,513254.0
2019-08-01,479532.0
2019-09-01,453044.0
2019-10-01,426782.0
2019-11-01,369004.0
2019-12-01,267122.0
2020-01-01,379388.0
2020-02-01,413564.0
2020-03-01,479588.0
2020-04-01,348794.0
2020-05-01,450560.0
2020-06-01,496328.0
2020-07-01,505860.0
2020-08-01,493884.0
2020-09-01,484432.0
2020-10-01,456292.0
2020-11-01,389800.0
2020-12-01,309718.0
2021-01-01,362648.0
2021-02-01,380252.0
2021-03-01,454352.0
2021-04-01,491774.0
2021-05-01,509600.0
2021-06-01,545858.0
2021-07-01,520620.0
2021-08-01,493422.0
2021-09-01,457154.0
2021-10-01,430272.0
2021-11-01,375246.0
2021-12-01,286160.0
2022-01-01,323868.0
2022-02-01,368444.0
2022-03-01,435128.0
2022-04-01,495660.0
2022-05-01,526354.0
2022-06-01,533424.0
2022-07-01,471952.0
2022-08-01,418468.0
2022-09-01,393884.0
2022-10-01,360280.0
2022-11-01,295002.0
2022-12-01,215936.0
2023-01-01,287140.0
2023-02-01,304868.0
2023-03-01,342380.0
2023-04-01,385052.0
2023-05-01,406772.0
2023-06-01,396166.0
2023-07-01,374096.0
2023-08-01,387226.0
2023-09-01,358076.0
2023-10-01,348682.0
2023-11-01,317122.0
2023-12-01,235584.0
2024-01-01,295178.0
2024-02-01,339370.0
2024-03-01,395536.0
2024-04-01,432028.0
2024-05-01,432140.0
2024-06-01,430076.0
2024-07-01,405404.0
2024-08-01,383552.0
